Name,Rating,Reviews,Raw Content
Pesta Keboen Restoran,,,"Pesta Keboen Restoran Pesta Keboen Restoran 4,5 Restoran Indonesia ·  · Jl. Veteran No.29 Masakan Jawa di lingkungan tradisional Buka · Tutup pukul 21.00"
SILVERSPOON Restaurant & Bar Kota Lama,,,"SILVERSPOON Restaurant & Bar Kota Lama SILVERSPOON Restaurant & Bar Kota Lama 5,0 Restoran ·  · Jl. K.H. Agus Salim No.2-4 Buka · Tutup pukul 00.00"
Kedai Beringin,,,"Kedai Beringin Kedai Beringin 4,6 Restoran China ·  · Jl. Imam Bonjol No.114A Buka · Tutup pukul 22.00    Pesan online"
Spiegel All Day Bar & Dining,,,"Spiegel All Day Bar & Dining Spiegel All Day Bar & Dining 4,6 Bistro ·  · Jl. Letjen Suprapto No.34 Bistro nyaman dengan burger & ayam Buka · Tutup pukul 01.00    Reservasi tempat  Pesan online"
Mlinjo Cafe and Resto Semarang,,,"Mlinjo Cafe and Resto Semarang Mlinjo Cafe and Resto Semarang 4,9 Restoran Indonesia ·  · Jl. Erlangga Timur No.19 Buka · Tutup pukul 21.00    Pesan online"
Openaire Resto Bar Market Semarang,,,"Openaire Resto Bar Market Semarang Openaire Resto Bar Market Semarang 4,8 Restoran ·  · Jl. Marina Raya No.88 Resto global yang trendi & penuh tanaman Buka · Tutup pukul 22.00    Pesan online"
Restoran Kampung Laut Semarang,,,"Restoran Kampung Laut Semarang Restoran Kampung Laut Semarang 4,4 Restoran Seafood ·  · Puri Maerokoco Tawang Mas, Jl. Puri Anjasmoro Raya Resto seafood luas dengan panorama laut Buka · Tutup pukul 22.00    Pesan online"
Bowery Restaurant,,,"Bowery Restaurant Bowery Restaurant 4,6 Restoran Mewah ·  · Jl. Ahmad Yani No.140 Buka · Tutup pukul 00.00    Reservasi tempat  Pesan online"
MAISHIN IZAKAYA Japanese Restaurant,,,"MAISHIN IZAKAYA Japanese Restaurant MAISHIN IZAKAYA Japanese Restaurant 4,9 Restoran Jepang ·  · Jl. Cendrawasih No.21 Buka · Tutup pukul 23.00    Reservasi tempat  Pesan online"
Nglaras Rasa Thamrin,,,"Nglaras Rasa Thamrin Nglaras Rasa Thamrin 4,4 Restoran Jawa · Jl. MH Thamrin No.126-128 Buka · Tutup pukul 21.00"
Kurnia Seafood Semarang,,,"Kurnia Seafood Semarang Kurnia Seafood Semarang 4,9 Restoran Seafood ·  · Jl. Kompol Maksum No.300 Buka · Tutup pukul 22.00"
Aroem Resto & Cafe Semarang,,,"Aroem Resto & Cafe Semarang Aroem Resto & Cafe Semarang 4,8 Restoran ·  · Jl. Dr. Wahidin No.213 Buka · Tutup pukul 22.00    Pesan online"
COMMORO RESTO,,,"COMMORO RESTO COMMORO RESTO 4,5 Restoran Keluarga · Jl. Gajah Mungkur Selatan No.15b Buka · Tutup pukul 23.00"
Kirakira Resto dan Cafe Semarang,,,"Kirakira Resto dan Cafe Semarang Kirakira Resto dan Cafe Semarang 4,5 Restoran ·  · Jalan Taman Ade Irma Suryani Nasution No.10 Buka · Tutup pukul 21.00    Pesan online"
Little Red Dot - DP Mall Semarang,,,"Little Red Dot - DP Mall Semarang Little Red Dot - DP Mall Semarang 4,9 Restoran · DP Mall Semarang, Jl. Pemuda No.150 L2/20 Buka · Tutup pukul 22.00    Pesan online"
Delman Resto,,,"Delman Resto Delman Resto 4,4 Restoran Keluarga ·  · Jl. Simongan No.22A Menu seafood dan sayuran di resto tenang Buka · Tutup pukul 21.00"
Holliday Restaurant,,,"Holliday Restaurant Holliday Restaurant 4,5 Restoran China ·  · Pertokoan Pandanaran, Jl. Pandanaran No.6 Buka · Tutup pukul 22.00"
Koenokoeni Cafe Gallery,,,"Koenokoeni Cafe Gallery Koenokoeni Cafe Gallery 4,4 Restoran ·  · XCW9+548, Jl.Tabanan No.4 Buka · Tutup pukul 23.00"
WAGA Restaurant,,,"WAGA Restaurant WAGA Restaurant 4,8 Restoran · Jl. Simpang No.11 Buka 24 jam    Pesan online"
Stoneaged Resto & Bar,,,"Stoneaged Resto & Bar Stoneaged Resto & Bar 4,9 Restoran Steak ·  · Jl. Lamper Sari No.12C Buka · Tutup pukul 22.00    Pesan online"
Toko Oen,"4,4",8.103,"Toko Oen Toko Oen 4,4(8.103) · Rp 25–125 rb Indonesia ·  · Jl. Pemuda No.52 Kafe bersejarah plus makanan Eropa-China Buka · Tutup pukul 22.00   ""Menu disajikan dengan potongan kentang goreng dan sayuran."""
Bowery Restaurant,"4,6",2.762,"Bowery Restaurant Bowery Restaurant 4,6(2.762) Jamuan Makan Resmi ·  · Jl. Ahmad Yani No.140 Buka · Tutup pukul 00.00   ""Makanannya saya pesan crispy duck, salmon, signature pizza, dan lasagna.""    Reservasi tempat  Pesan online"
COMMORO RESTO,"4,5",1.051,"COMMORO RESTO COMMORO RESTO 4,5(1.051) · Rp 50–100 rb Sesuai untuk keluarga · Jl. Gajah Mungkur Selatan No.15b Buka · Tutup pukul 23.00   ""makanan enak, dessertnya jg oke, servicenya ramah semua dan komunikatif!"""
Kesambi Sky View Resto Simpang Lima Semarang,"5,0",3.229,"Kesambi Sky View Resto Simpang Lima Semarang Kesambi Sky View Resto Simpang Lima Semarang 5,0(3.229) · Rp 25–75 rb Restoran · Jl. Kesambi No.7 Buka · Tutup pukul 22.00   ""makanan nya enak, pemandangan nya mantap, pelayanan nya memuaskan""    Pesan online"
